time,rain
2020-09-15T21:45:10Z,1
2020-09-15T21:46:10Z,1
2020-09-15T21:46:58Z,1
2020-09-15T21:47:54Z,1
2020-09-15T21:48:56Z,1
2020-09-15T21:49:50Z,1
2020-09-15T21:50:44Z,1
2020-09-15T21:55:22Z,1
2020-09-15T22:00:28Z,1
2020-09-15T22:05:33Z,1
2020-09-15T22:10:23Z,1
2020-09-15T22:15:23Z,1
2020-09-15T22:20:22Z,1
2020-09-15T22:25:42Z,1
2020-09-15T22:30:24Z,1
2020-09-15T22:35:22Z,1
2020-09-15T22:40:20Z,1
2020-09-15T22:45:14Z,1
2020-09-15T22:50:25Z,1
2020-09-15T22:55:20Z,1
2020-09-15T23:00:14Z,1
2020-09-15T23:05:24Z,1
2020-09-15T23:10:22Z,1
2020-09-15T23:15:28Z,1
2020-09-15T23:20:17Z,1
2020-09-15T23:25:17Z,1
2020-09-15T23:30:17Z,1
2020-09-15T23:35:13Z,1
2020-09-15T23:40:25Z,1
2020-09-15T23:45:32Z,1
2020-09-15T23:50:12Z,1
2020-09-15T23:55:12Z,1
2020-09-16T00:00:15Z,1
2020-09-16T00:05:16Z,1
2020-09-16T00:10:17Z,1
2020-09-16T00:15:11Z,1
2020-09-16T00:20:23Z,1
2020-09-16T00:25:24Z,1
2020-09-16T00:30:24Z,1
2020-09-16T00:35:22Z,1
2020-09-16T00:40:25Z,1
2020-09-16T00:45:11Z,1
2020-09-16T00:50:09Z,1
2020-09-16T00:55:20Z,1
2020-09-16T01:00:16Z,1
2020-09-16T01:05:10Z,1
2020-09-16T01:10:19Z,1
2020-09-16T01:15:14Z,1
2020-09-16T01:20:08Z,1
2020-09-16T01:25:18Z,1
2020-09-16T01:30:14Z,1
2020-09-16T01:35:09Z,1
2020-09-16T01:40:19Z,1
2020-09-16T01:45:14Z,1
2020-09-16T01:50:08Z,1
2020-09-16T01:55:18Z,1
2020-09-16T02:00:12Z,1
2020-09-16T02:05:07Z,1
2020-09-16T02:10:17Z,1
2020-09-16T02:15:12Z,1
2020-09-16T02:20:07Z,1
2020-09-16T02:25:17Z,1
2020-09-16T02:30:12Z,1
2020-09-16T02:35:07Z,1
2020-09-16T02:40:17Z,1
2020-09-16T02:45:12Z,1
2020-09-16T02:50:07Z,1
2020-09-16T02:55:19Z,1
2020-09-16T03:00:13Z,1
2020-09-16T03:05:09Z,1
2020-09-16T03:10:05Z,1
2020-09-16T03:15:15Z,1
2020-09-16T03:20:10Z,1
2020-09-16T03:25:06Z,1
2020-09-16T03:30:16Z,1
2020-09-16T03:35:12Z,1
2020-09-16T03:40:06Z,1
2020-09-16T03:45:16Z,1
2020-09-16T03:50:11Z,1
2020-09-16T03:55:07Z,1
2020-09-16T04:00:02Z,1
2020-09-16T04:05:12Z,1
2020-09-16T04:10:07Z,1
2020-09-16T04:15:02Z,1
2020-09-16T04:20:12Z,1
2020-09-16T04:25:06Z,1
2020-09-16T04:30:00Z,1
2020-09-16T04:35:10Z,1
2020-09-16T04:40:04Z,1
2020-09-16T04:45:00Z,1
2020-09-16T04:50:10Z,1
2020-09-16T04:55:05Z,1
2020-09-16T05:00:01Z,1
2020-09-16T05:05:11Z,1
2020-09-16T05:10:07Z,1
2020-09-16T05:15:01Z,1
2020-09-16T05:20:11Z,1
2020-09-16T05:25:06Z,1
2020-09-16T05:30:00Z,1
2020-09-16T05:35:10Z,1
2020-09-16T05:40:06Z,1
2020-09-16T05:45:00Z,1
2020-09-16T05:50:11Z,1
2020-09-16T05:55:06Z,1
2020-09-16T06:00:02Z,1
2020-09-16T06:04:57Z,2
2020-09-16T06:10:08Z,1
2020-09-16T06:15:03Z,1
2020-09-16T06:19:57Z,1
2020-09-16T06:25:06Z,1
2020-09-16T06:30:01Z,1
2020-09-16T06:34:55Z,1
2020-09-16T06:40:06Z,1
2020-09-16T06:45:00Z,2
2020-09-16T06:50:09Z,16
2020-09-16T06:55:02Z,22
2020-09-16T06:59:57Z,22
2020-09-16T07:05:07Z,17
2020-09-16T07:10:01Z,13
2020-09-16T07:14:56Z,11
2020-09-16T07:20:06Z,9
2020-09-16T07:25:01Z,8
2020-09-16T07:29:57Z,7
2020-09-16T07:35:07Z,7
2020-09-16T07:40:01Z,7
2020-09-16T07:44:56Z,6
2020-09-16T07:50:05Z,5
2020-09-16T07:55:00Z,4
2020-09-16T07:59:54Z,2
2020-09-16T08:05:03Z,6
2020-09-16T08:09:59Z,4
2020-09-16T08:14:56Z,3
2020-09-16T08:20:05Z,2
2020-09-16T08:25:01Z,1
2020-09-16T08:29:55Z,1
2020-09-16T08:35:27Z,1
2020-09-16T08:40:01Z,1
2020-09-16T08:44:56Z,2
2020-09-16T08:49:55Z,1
2020-09-16T08:54:55Z,1
2020-09-16T08:59:54Z,1
2020-09-16T09:04:59Z,1
2020-09-16T09:09:58Z,1
2020-09-16T09:14:53Z,1
2020-09-16T09:20:02Z,1
2020-09-16T09:24:58Z,1
2020-09-16T09:29:52Z,1
2020-09-16T09:35:01Z,6
2020-09-16T09:39:55Z,4
2020-09-16T09:45:01Z,4
2020-09-16T09:49:56Z,9
2020-09-16T09:54:55Z,34
2020-09-16T09:59:55Z,17
2020-09-16T10:04:55Z,31
2020-09-16T10:09:58Z,37
2020-09-16T10:14:53Z,50
2020-09-16T10:19:53Z,58
2020-09-16T10:24:56Z,60
2020-09-16T10:29:57Z,61
2020-09-16T10:34:57Z,56
2020-09-16T10:39:56Z,42
2020-09-16T10:44:58Z,43
2020-09-16T10:49:53Z,33
2020-09-16T10:54:58Z,40
2020-09-16T11:00:06Z,38
2020-09-16T11:04:58Z,34
2020-09-16T11:09:54Z,40
2020-09-16T11:15:06Z,40
2020-09-16T11:19:48Z,36
2020-09-16T11:24:50Z,38
2020-09-16T11:29:46Z,32
2020-09-16T11:34:56Z,30
2020-09-16T11:39:59Z,54
2020-09-16T11:44:57Z,84
2020-09-16T11:49:59Z,86
2020-09-16T11:54:58Z,81
2020-09-16T11:59:57Z,85
2020-09-16T12:04:59Z,87
2020-09-16T12:10:12Z,86
2020-09-16T12:14:45Z,85
2020-09-16T12:19:59Z,72
2020-09-16T12:24:57Z,79
2020-09-16T12:29:54Z,63
2020-09-16T12:34:56Z,30
2020-09-16T12:39:54Z,26
2020-09-16T12:44:56Z,52
2020-09-16T12:49:57Z,51
2020-09-16T12:55:06Z,47
2020-09-16T12:59:48Z,52
2020-09-16T13:04:42Z,24
2020-09-16T13:09:44Z,20
2020-09-16T13:14:56Z,47
2020-09-16T13:20:01Z,51
2020-09-16T13:24:43Z,58
2020-09-16T13:29:46Z,15
2020-09-16T13:34:43Z,16
2020-09-16T13:39:44Z,18
2020-09-16T13:44:55Z,14
2020-09-16T13:49:52Z,17
2020-09-16T13:54:57Z,64
2020-09-16T13:59:53Z,72
2020-09-16T14:04:59Z,89
2020-09-16T14:09:52Z,60
2020-09-16T14:14:47Z,21
2020-09-16T14:20:15Z,21
2020-09-16T14:24:42Z,23
2020-09-16T14:29:45Z,28
2020-09-16T14:34:40Z,69
2020-09-16T14:39:53Z,57
2020-09-16T14:44:55Z,61
2020-09-16T14:49:41Z,48
2020-09-16T14:54:56Z,63
2020-09-16T14:59:57Z,49
2020-09-16T15:04:41Z,26
2020-09-16T15:09:41Z,50
2020-09-16T15:14:43Z,60
2020-09-16T15:19:43Z,56
2020-09-16T15:24:45Z,74
2020-09-16T15:29:40Z,62
2020-09-16T15:34:50Z,60
2020-09-16T15:39:44Z,54
2020-09-16T15:44:39Z,39
2020-09-16T15:49:49Z,36
2020-09-16T15:54:44Z,25
2020-09-16T15:59:39Z,27
2020-09-16T16:04:49Z,28
2020-09-16T16:09:44Z,30
2020-09-16T16:14:40Z,37
2020-09-16T16:19:35Z,47
2020-09-16T16:24:44Z,34
2020-09-16T16:29:38Z,42
2020-09-16T16:34:48Z,37
2020-09-16T16:39:43Z,37
2020-09-16T16:44:38Z,41
2020-09-16T16:49:47Z,39
2020-09-16T16:54:42Z,40
2020-09-16T16:59:37Z,39
2020-09-16T17:04:48Z,29
2020-09-16T17:09:42Z,34
2020-09-16T17:14:37Z,29
2020-09-16T17:19:47Z,30
2020-09-16T17:24:41Z,36
2020-09-16T17:29:36Z,20
2020-09-16T17:34:45Z,21
2020-09-16T17:39:40Z,23
2020-09-16T17:44:34Z,34
2020-09-16T17:49:44Z,68
2020-09-16T17:54:38Z,56
2020-09-16T17:59:32Z,54
2020-09-16T18:04:42Z,50
2020-09-16T18:09:37Z,63
2020-09-16T18:14:33Z,64
2020-09-16T18:19:43Z,53
2020-09-16T18:24:38Z,63
2020-09-16T18:29:32Z,57
2020-09-16T18:34:42Z,52
2020-09-16T18:39:37Z,56
2020-09-16T18:44:31Z,63
2020-09-16T18:49:41Z,36
2020-09-16T18:54:36Z,40
2020-09-16T18:59:32Z,24
2020-09-16T19:04:41Z,53
2020-09-16T19:09:36Z,48
2020-09-16T19:14:32Z,39
2020-09-16T19:19:42Z,30
2020-09-16T19:24:37Z,35
2020-09-16T19:29:32Z,28
2020-09-16T19:34:41Z,66
2020-09-16T19:39:36Z,67
2020-09-16T19:44:31Z,72
2020-09-16T19:49:40Z,69
2020-09-16T19:54:36Z,68
2020-09-16T19:59:31Z,58
2020-09-16T20:04:41Z,25
2020-09-16T20:09:36Z,69
2020-09-16T20:14:32Z,28
2020-09-16T20:19:27Z,25
2020-09-16T20:24:37Z,54
2020-09-16T20:29:32Z,26
2020-09-16T20:34:26Z,68
2020-09-16T20:39:36Z,31
2020-09-16T20:44:30Z,27
2020-09-16T20:49:24Z,34
2020-09-16T20:54:34Z,33
2020-09-16T20:59:29Z,26
2020-09-16T21:04:38Z,38
2020-09-16T21:09:33Z,40
2020-09-16T21:14:27Z,33
2020-09-16T21:19:36Z,35
2020-09-16T21:24:31Z,44
2020-09-16T21:29:25Z,44
2020-09-16T21:34:36Z,45
2020-09-16T21:39:30Z,47
2020-09-16T21:44:25Z,40
2020-09-16T21:49:36Z,41
2020-09-16T21:54:31Z,56
2020-09-16T21:59:26Z,45
2020-09-16T22:04:36Z,41
2020-09-16T22:09:31Z,52
2020-09-16T22:14:26Z,48
2020-09-16T22:19:36Z,34
2020-09-16T22:24:31Z,33
2020-09-16T22:29:26Z,48
2020-09-16T22:34:22Z,33
2020-09-16T22:39:33Z,32
2020-09-16T22:44:28Z,42
